source_text_sha256,source_text_zh,display_text_en,review_status
01673def9c55673dbfa34828f385b384f879b0621beecca1a24cd23f46cba72c,【国家发改委主任郑栅洁：坚定实施扩大内需战略】国家发改委主任郑栅洁在《学习时报》发表文章指出，坚定实施扩大内需战略。要更好统筹扩大内需和深化供给侧结构性改革，增强国内大循环动力和可靠性。充分发挥消费对经济增长的基础性作用。多渠道增加城乡居民收入，稳定汽车等大宗消费，推动新能源汽车下乡，培育壮大绿色消费、服务消费等消费新热点。进一步增强投资对优化供给结构的关键作用。加快实施“十四五”规划102项重大工程及其他经济社会重大项目建设，推动能源、水利、交通等重大基础设施及新型基础设施建设，发挥政府投资和政策激励的引导作用，有效激发民间投资活力。,"[NDRC Chairman Zheng Shanjie: Firmly Implement the Strategy of Expanding Domestic Demand] NDRC Chairman Zheng Shanjie wrote in an article published in Study Times that the strategy of expanding domestic demand should be firmly implemented. The expansion of domestic demand should be better coordinated with deepening supply-side structural reform to strengthen the momentum and reliability of the domestic economic cycle. The fundamental role of consumption in economic growth should be fully leveraged. Urban and rural residents' incomes should be increased through multiple channels, consumption of major items such as automobiles should be stabilised, new-energy vehicles should be promoted in rural areas, and new growth areas in consumption, including green consumption and service consumption, should be fostered and expanded. The key role of investment in optimising the supply structure should be further strengthened. Implementation of the 102 major projects under the 14th Five-Year Plan and other major economic and social projects should be accelerated; major infrastructure and new infrastructure construction in areas including energy, water conservancy and transport should be advanced; the guiding role of government investment and policy incentives should be leveraged; and the vitality of private investment should be effectively stimulated.",REVIEWED
0184ad5de07a0a64ce930e6120a748bc0bfd71538583e81bba951cf61dab804e,中国央行于6月15日进行2370亿元的一年期MLF操作，利率从2.75%降至2.65%。当天有2000亿元的MLF到期。,"On June 15, the People's Bank of China conducted RMB 237 billion of one-year medium-term lending facility (MLF) operations, with the interest rate lowered from 2.75% to 2.65%. RMB 200 billion of MLF funds matured on the same day.",REVIEWED
078bd99dee2d022bdaa37fc6592b37bdfd24600a3bf4a617e0fb1687c32dd89d,国务院办公厅近日印发《指导意见》，计划到2030年基本建成高质量充电基础设施体系，以解决新能源汽车发展中的“充电焦虑”问题。该意见强调要补齐城乡充电基础设施短板，建设便捷的城际和城市群充电网络，并积极推进居住区的充电设施建设。同时，鼓励各类社会资本参与投资，提高运营服务水平，推动技术研究与商业合作。为支持政策落实，《指导意见》还提出优化电价政策、减免租金、提供资金支持等措施，以促进新能源汽车产业发展，实现碳达峰碳中和目标。,"The General Office of the State Council recently issued Guiding Opinions, planning to basically establish a high-quality charging infrastructure system by 2030 in order to address the problem of ""charging anxiety"" in the development of new-energy vehicles. The document emphasises addressing shortcomings in urban and rural charging infrastructure, building convenient intercity and urban-cluster charging networks, and actively advancing the construction of charging facilities in residential areas. At the same time, various forms of private capital are encouraged to participate in investment, operational service standards are to be improved, and technological research and commercial cooperation are to be promoted. To support implementation of the policy, the Guiding Opinions also propose measures including optimising electricity pricing policies, reducing or waiving rents, and providing financial support, in order to promote development of the new-energy vehicle industry and achieve the goals of carbon peaking and carbon neutrality.",REVIEWED
097588690568cc35ea27d5eb94f3715f31e8466f8a4051b755266b5eec2f5308,6月21日，财政部副部长许宏才在国务院政策例行吹风会上宣布，新能源汽车购置税减免政策将延续至2027年底。自2024年1月1日起至2025年12月31日期间，新能源汽车免征购置税，每辆车最高免税额为3万元；从2026年起到2027年，将减半征收购置税，最高减税额为1.5万元。预计该政策将在2024年至2027年间减少车辆购置税总额约5200亿元。这项政策旨在进一步推动新能源汽车的普及，并适应市场需求，其中低价车型将享受更大的减免额度。根据最新数据，新能源汽车市场渗透率持续上升，产销量显著增长。,"On June 21, Vice Minister of Finance Xu Hongcai announced at a State Council regular policy briefing that the vehicle purchase-tax reduction and exemption policy for new-energy vehicles would be extended through the end of 2027. From January 1, 2024 to December 31, 2025, new-energy vehicles will be exempt from vehicle purchase tax, with a maximum tax exemption of RMB 30,000 per vehicle; from 2026 through 2027, vehicle purchase tax will be levied at half the normal rate, with a maximum tax reduction of RMB 15,000 per vehicle. The policy is expected to reduce vehicle purchase tax by approximately RMB 520 billion in total from 2024 to 2027. The policy is intended to further promote the adoption of new-energy vehicles and adapt to market demand, with lower-priced models receiving a greater degree of tax relief. According to the latest data, the market penetration rate of new-energy vehicles continues to rise, with production and sales increasing significantly.",REVIEWED
0afc612b8d376b2b99f86dc21d1a243f4ccabcb8aa4da3629910d18893df2e7f,6月15日，中国央行宣布将中期借贷便利（MLF）利率下调10个基点至2.65%，并进行2370亿元的1年期MLF操作，实现净投放370亿元。此次降息是为了维护银行体系流动性和刺激经济，响应近期经济回暖乏力和低通胀压力。分析师指出，随着政策利率下调，企业和居民贷款利率可能会进一步下降，特别是在房地产市场转弱背景下。此外，预计本月贷款市场报价利率（LPR）也将跟随调整，其中1年期LPR可能下调0.05个百分点，而5年期以上LPR则可能下调0.15个百分点。,"On June 15, the People's Bank of China announced that it would lower the medium-term lending facility (MLF) rate by 10 basis points to 2.65% and conduct RMB 237 billion of one-year MLF operations, resulting in a net injection of RMB 37 billion. The rate cut was intended to maintain liquidity in the banking system and stimulate the economy in response to the recent weak economic recovery and low inflationary pressure. Analysts noted that, following the reduction in policy rates, lending rates for enterprises and households may fall further, particularly against the backdrop of a weakening property market. In addition, the loan prime rates (LPRs) are expected to be adjusted accordingly this month, with the one-year LPR potentially falling by 0.05 percentage points and the LPR for maturities of more than five years potentially falling by 0.15 percentage points.",REVIEWED
11939ce4c3481175631a6935ae41f48e2437a2c1598607d1392ddb5b6b048d6c,中国人民银行授权全国银行间同业拆借中心公布，2023年6月20日贷款市场报价利率（LPR）为：1年期LPR为3.55%，此前为3.65%，5年期以上LPR为4.2%，此前为4.3%。以上LPR在下一次发布LPR之前有效。,"The People's Bank of China authorised the National Interbank Funding Center to announce that the loan prime rates (LPRs) on June 20, 2023 were as follows: the one-year LPR was 3.55%, compared with 3.65% previously, and the LPR for maturities of more than five years was 4.2%, compared with 4.3% previously. These LPRs will remain effective until the next LPR announcement.",REVIEWED
14060f3cacbf85971ad440fcbca42dd576da9ba12c8a51bdb27960ade9011c39,7月5日，卫宁健康发布公告称，公司实控人和董事长周炜因涉嫌行贿罪被茂名市监察委员会立案调查并实施留置。自7月3日以来，卫宁健康股价从10.82元跌至7.72元，跌幅达28.65%，市值蒸发66.59亿元，目前市值为165.8亿元。根据2019年公布的裁定书，周炜曾因试图影响IPO申请而向证监会前委员孙小波行贿1万欧元。,"On July 5, Winning Health Technology Group announced that Zhou Wei, the company's actual controller and chairman, had been placed under investigation and detention by the Maoming Municipal Supervisory Commission on suspicion of bribery. Since July 3, Winning Health's share price has fallen from RMB 10.82 to RMB 7.72, a decline of 28.65%, with RMB 6.659 billion in market value erased; its current market value is RMB 16.58 billion. According to a ruling published in 2019, Zhou Wei had previously bribed Sun Xiaobo, a former member of the China Securities Regulatory Commission, with EUR 10,000 in an attempt to influence an IPO application.",REVIEWED
154dd4beea6cc8f0a7259cdc8fe2eb164bf6a0df0af3cb4b8486408a97b5f48d,【美联储宣布本次会议不加息】美联储宣布本次会议不加息，维持联邦基金利率目标区间在5%至5.25%，这是美联储自去年3月以来累计加息十次后首次暂停加息。,"[Federal Reserve Announces No Rate Increase at This Meeting] The Federal Reserve announced that it would not raise interest rates at this meeting and would maintain the target range for the federal funds rate at 5% to 5.25%. This was the first pause in rate increases since March last year, after the Federal Reserve had raised rates ten times in total.",REVIEWED
17abfc8a18e9dd36a9d77c3352a84c2a9fb6b885a7cf9698aa00bf749e09a23a,据经参，LPR年内首次下调“如期而至”。业内人士表示，LPR下调有助于稳增长、降成本和提信心。展望未来，在全力支持实体经济之际，后续或有更多“稳增长”政策推出，货币政策将继续加大逆周期和跨周期调节力度，为宏观经济加快恢复创造更加适宜...,"According to Economic Information Daily, the first LPR reduction of the year ""arrived as expected."" Industry participants said that the LPR reduction would help stabilise growth, reduce costs and boost confidence. Looking ahead, as efforts are made to fully support the real economy, more ""growth-stabilising"" policies may be introduced, and monetary policy will continue to strengthen counter-cyclical and cross-cyclical adjustments, creating more suitable conditions for a faster macroeconomic recovery...",REVIEWED
1affc3313179a89e3871adffd653b0f6be12b741eb195d2528a006966168d565,财政部、税务总局和工信部于6月21日联合发布公告，决定延续新能源汽车购置税减免政策：2024年1月1日至2025年12月31日期间购置的新能源汽车免征购置税，而在2026年至2027年期间则减半征收。此次政策是对之前购置税优惠措施的第四次延期，自2014年以来该政策逐步推行以刺激市场。根据初步估算，延长政策将使得2024至2027年的减免车辆购置税规模达到5200亿元。此外，公告设定了每辆新能源乘用车的最高免税额为3万元，以及减半征收的最高额度为1.5万元，以更精准地引导市场。同时，该政策还针对换电模式进行了相关规定。此消息推动了港股新能源汽车股票上涨。,"On June 21, the Ministry of Finance, the State Taxation Administration and the Ministry of Industry and Information Technology jointly issued an announcement extending the vehicle purchase-tax reduction and exemption policy for new-energy vehicles: new-energy vehicles purchased from January 1, 2024 to December 31, 2025 will be exempt from vehicle purchase tax, while those purchased from 2026 through 2027 will be taxed at half the normal rate. This is the fourth extension of the previous vehicle purchase-tax preferential policy, which has been implemented progressively since 2014 to stimulate the market. According to preliminary estimates, the extension will bring the total scale of vehicle purchase-tax reductions and exemptions from 2024 to 2027 to RMB 520 billion. In addition, the announcement sets a maximum tax exemption of RMB 30,000 per new-energy passenger vehicle and a maximum tax reduction of RMB 15,000 for the half-rate period, in order to guide the market more precisely. The policy also includes relevant provisions for battery-swapping models. The news drove up Hong Kong-listed new-energy vehicle stocks.",REVIEWED
